City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,aguadilla,18.4275,-67.1541,306.74,74,40,9.26,PR,1689700421
233,barcelos,41.5388,-8.6151,302.55,53,4,4.56,PT,1689700421
234,guanica,17.9716,-66.908,307.06,69,99,8.7,PR,1689700325
235,ancud,-41.8697,-73.8203,278.19,84,100,4.79,CL,1689700422
236,tazovsky,67.4667,78.7,287.58,71,60,5.22,RU,1689700422
237,west bay,19.3667,-81.4167,307.19,75,20,4.63,KY,1689700422
238,las tablas,7.7667,-80.2833,300.63,80,100,6.62,PA,1689700423
239,thunder bay,48.4001,-89.3168,288.63,72,89,1.41,CA,1689700151
240,figuig (centre),32.1089,-1.2286,310.58,8,36,4.43,MA,1689700423
241,moses lake,47.1301,-119.2781,297.53,31,0,2.06,US,1689700423
242,kone,-21.0595,164.8658,292.43,88,93,2.3,NC,1689700423
243,san antonio oeste,-40.7319,-64.9477,280.2,52,79,7.0,AR,1689700424
244,cuamba,-14.8031,36.5372,293.74,42,5,1.05,MZ,1689700424
245,saipan,15.1355,145.701,300.73,100,40,2.57,MP,1689700424
246,lorengau,-2.0226,147.2712,299.85,82,94,3.15,PG,1689700424
247,kovdor,67.5662,30.4758,291.58,60,42,3.46,RU,1689700424
248,hamilton,39.1834,-84.5333,302.31,74,0,3.09,US,1689700197
249,caleta de carquin,-11.0925,-77.6267,295.37,65,32,4.66,PE,1689700425
250,flin flon,54.7682,-101.865,293.06,60,75,4.12,CA,1689700268
251,port alfred,-33.5906,26.891,289.36,92,29,1.79,ZA,1689700425
252,fada,9.5667,8.3,299.31,79,89,1.87,NG,1689700426
253,queenstown,-31.8976,26.8753,289.57,27,2,6.38,ZA,1689700426
254,tobelo,1.7284,128.0095,299.59,84,100,1.53,ID,1689700426
255,kemi,65.8596,24.8228,289.02,82,75,4.63,FI,1689700426
256,itoman,26.1247,127.6694,301.16,89,20,5.14,JP,1689700426
257,buala,-8.145,159.5921,299.52,84,81,3.02,SB,1689700427
258,shalkar,47.8288,59.6258,296.41,43,48,5.04,KZ,1689700427
259,kas,36.2018,29.6377,303.4,38,0,2.4,TR,1689700428
260,siwa oasis,29.2041,25.5195,310.64,15,0,3.66,EG,1689700429
261,accra,5.556,-0.1969,301.38,78,40,7.72,GH,1689700363
262,barra de santo antonio,-9.4047,-35.5072,301.75,72,13,5.06,BR,1689700429
263,tupanatinga,-8.7533,-37.3397,300.89,42,1,6.35,BR,1689700430
264,yabelo,4.8833,38.0833,292.74,47,95,4.36,ET,1689700430
265,kirensk,57.7853,108.1119,286.57,76,88,0.63,RU,1689700430
266,veinticinco de mayo,-35.4323,-60.1727,282.18,40,62,3.08,AR,1689700430
267,tsengel,49.4783,100.8894,286.4,81,37,1.32,MN,1689700431
268,mizque,-17.941,-65.3402,295.91,42,75,3.53,BO,1689700431
269,barreirinha,-2.7933,-57.07,309.63,33,9,2.28,BR,1689700431
270,greymouth,-42.4667,171.2,282.22,92,100,2.04,NZ,1689700431
271,porto murtinho,-21.6989,-57.8825,289.28,51,100,3.54,BR,1689700230
272,sarpang,26.864,90.2674,299.1,91,100,1.4,BT,1689700432
273,antsiranana,-12.2787,49.2917,296.7,69,2,7.52,MG,1689700432
